structure_id,source_path,formula,structure_class,is_bulk,is_gb,translation_state,translation_index,li_vac_region,vacancy_count,has_vacancy,natoms,li_count,p_count,s_count,cl_count,lattice_a_A,lattice_b_A,lattice_c_A,volume_ang3,mass_density_g_cm3,li_fraction,li_number_density_per_A3,gb_delta_A,gb_z0_A,min_pair_distance_A,min_pair_label,li_s_nn_mean_A,li_s_nn_std_A,li_s_nn_min_A,li_s_nn_max_A,li_cl_nn_mean_A,li_cl_nn_std_A,li_cl_nn_min_A,li_cl_nn_max_A,li_li_nn_mean_A,li_li_nn_std_A,li_li_nn_min_A,li_li_nn_max_A,p_s_nn_mean_A,p_s_nn_std_A,p_s_nn_min_A,p_s_nn_max_A,li_s_coord_3p0_mean,li_s_coord_3p0_std,li_cl_coord_3p5_mean,li_cl_coord_3p5_std,has_cp2k_label,cp2k_energy_Ha,cp2k_max_force_ev_per_A,cp2k_warning_count,cp2k_scf_failures,cp2k_label_source,screening_600K_d_cm2_s,screening_600K_log10D,screening_700K_d_cm2_s,screening_700K_log10D,formal_600K_d_cm2_s,formal_700K_d_cm2_s,formal_800K_d_cm2_s,has_formal_transport,formal_activation_energy_eV,formal_d_tracer_300K_cm2_s,formal_sigma_ne_upper_300K_mS_cm,run_name,label_tier,target_temperature_K,reported_temperature_K,target_md_steps,reported_md_steps,trajectory_time_ps,li_diffusion_last_half_cm2_per_s,log10_li_diffusion_last_half_cm2_per_s,li_msd_last_A2,li_rmsd_last_A,frames_saved,save_interval_steps,energy_per_atom_eV,fmax_eV_per_A,fmean_eV_per_A,frms_eV_per_A,run_min_pair_distance_A,run_min_pair_label,model_path,device
bulk_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_Li_vac_c1_s1\POSCAR,Li191P32S160Cl32,bulk,1,0,NA,0,bulk,1,1,415,191,32,160,32,20.561,20.561,20.561,8692.259818480996,1.639227141018598,0.4602409638554217,0.02197357234926486,nan,nan,2.057676327677974,P-S,2.3322461101673286,0.0004307159098233628,2.332000040209997,2.3330001272500027,3.6423269597177788,0.00012057804792365485,3.64224777063285,3.643018708622382,3.298120100704079,0.0003045947834741149,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0,0,nan,nan,nan,nan,,2.528449074453878e-05,-4.5971457890776675,1.5181028819486334e-05,-4.818698795272867,nan,nan,nan,0,,,,md_600K_1000steps,screening,600,451.403837933221,1000,1000,1.0,2.528449074453878e-05,-4.5971457890776675,1.4088645795061463,1.1869560141412765,51,20,-4.1022890024804335,2.822493314743042,0.7255035638809204,0.8692029118537903,1.9314167782251164,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_Li_vac_c1_s1\POSCAR,Li191P32S160Cl32,bulk,1,0,NA,0,bulk,1,1,415,191,32,160,32,20.561,20.561,20.561,8692.259818480996,1.639227141018598,0.4602409638554217,0.02197357234926486,nan,nan,2.057676327677974,P-S,2.3322461101673286,0.0004307159098233628,2.332000040209997,2.3330001272500027,3.6423269597177788,0.00012057804792365485,3.64224777063285,3.643018708622382,3.298120100704079,0.0003045947834741149,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0,0,nan,nan,nan,nan,,2.528449074453878e-05,-4.5971457890776675,1.5181028819486334e-05,-4.818698795272867,nan,nan,nan,0,,,,md_700K_1000steps,screening,700,566.7851105043547,1000,1000,1.0,1.5181028819486334e-05,-4.818698795272867,1.4118449142714038,1.1882108038018353,51,20,-4.094980944746718,3.628375291824341,0.7642825245857239,0.9513809084892273,1.9237486122876541,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_ordered\POSCAR,Li192P32S160Cl32,bulk,1,0,NA,0,bulk,0,0,416,192,32,160,32,20.561,20.561,20.561,8692.259818480996,1.6405529344678098,0.46153846153846156,0.022088617230674623,nan,nan,2.057676327677974,P-S,2.3322500362687495,0.00043300587849799595,2.332000040209997,2.3330001272500027,3.6423268869907073,0.00012026783270353998,3.64224777063285,3.643018708622382,3.2981228771745243,0.00030621420933184647,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0,0,nan,nan,nan,nan,,2.6017599580407203e-05,-4.584732774533566,3.357459799872872e-05,-4.473989178599054,5.362511161670425e-06,8.284503384540898e-06,1.408559762561009e-05,1,0.19743972369073073,1.139047488241793e-07,15.59288982287784,md_600K_20steps,pilot,600,333.3428877263927,20,20,0.02,6.293739532496077e-05,-4.201091234403474,0.05649592387956581,0.2376887121416703,21,1,-4.085012971746485,2.8705105781555176,0.7287982106208801,0.8527534604072571,1.9569638624072783,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_ordered\POSCAR,Li192P32S160Cl32,bulk,1,0,NA,0,bulk,0,0,416,192,32,160,32,20.561,20.561,20.561,8692.259818480996,1.6405529344678098,0.46153846153846156,0.022088617230674623,nan,nan,2.057676327677974,P-S,2.3322500362687495,0.00043300587849799595,2.332000040209997,2.3330001272500027,3.6423268869907073,0.00012026783270353998,3.64224777063285,3.643018708622382,3.2981228771745243,0.00030621420933184647,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0,0,nan,nan,nan,nan,,2.6017599580407203e-05,-4.584732774533566,3.357459799872872e-05,-4.473989178599054,5.362511161670425e-06,8.284503384540898e-06,1.408559762561009e-05,1,0.19743972369073073,1.139047488241793e-07,15.59288982287784,md_600K_1000steps,screening,600,569.7701836957275,1000,1000,1.0,2.6017599580407203e-05,-4.584732774533566,2.042036132618224,1.4289982969262853,51,20,-4.097889662041637,3.162869691848755,0.7291039824485779,0.8727169632911682,1.9443128583423197,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_ordered\POSCAR,Li192P32S160Cl32,bulk,1,0,NA,0,bulk,0,0,416,192,32,160,32,20.561,20.561,20.561,8692.259818480996,1.6405529344678098,0.46153846153846156,0.022088617230674623,nan,nan,2.057676327677974,P-S,2.3322500362687495,0.00043300587849799595,2.332000040209997,2.3330001272500027,3.6423268869907073,0.00012026783270353998,3.64224777063285,3.643018708622382,3.2981228771745243,0.00030621420933184647,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0,0,nan,nan,nan,nan,,2.6017599580407203e-05,-4.584732774533566,3.357459799872872e-05,-4.473989178599054,5.362511161670425e-06,8.284503384540898e-06,1.408559762561009e-05,1,0.19743972369073073,1.139047488241793e-07,15.59288982287784,md_600K_20000steps,formal,600,589.097399648162,20000,20000,20.0,5.362511161670425e-06,-5.270631790854431,10.262541189887068,3.203520124782591,201,100,-4.087404357327191,3.2936179637908936,0.801277220249176,0.9687192440032959,1.924027470438527,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_ordered\POSCAR,Li192P32S160Cl32,bulk,1,0,NA,0,bulk,0,0,416,192,32,160,32,20.561,20.561,20.561,8692.259818480996,1.6405529344678098,0.46153846153846156,0.022088617230674623,nan,nan,2.057676327677974,P-S,2.3322500362687495,0.00043300587849799595,2.332000040209997,2.3330001272500027,3.6423268869907073,0.00012026783270353998,3.64224777063285,3.643018708622382,3.2981228771745243,0.00030621420933184647,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0,0,nan,nan,nan,nan,,2.6017599580407203e-05,-4.584732774533566,3.357459799872872e-05,-4.473989178599054,5.362511161670425e-06,8.284503384540898e-06,1.408559762561009e-05,1,0.19743972369073073,1.139047488241793e-07,15.59288982287784,md_700K_1000steps,screening,700,658.7457078334485,1000,1000,1.0,3.357459799872872e-05,-4.473989178599054,2.2158004573858663,1.4885565012406705,51,20,-4.080764403835243,3.1554667949676514,0.8055320382118225,0.9660964608192444,1.9409414555828246,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_ordered\POSCAR,Li192P32S160Cl32,bulk,1,0,NA,0,bulk,0,0,416,192,32,160,32,20.561,20.561,20.561,8692.259818480996,1.6405529344678098,0.46153846153846156,0.022088617230674623,nan,nan,2.057676327677974,P-S,2.3322500362687495,0.00043300587849799595,2.332000040209997,2.3330001272500027,3.6423268869907073,0.00012026783270353998,3.64224777063285,3.643018708622382,3.2981228771745243,0.00030621420933184647,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0,0,nan,nan,nan,nan,,2.6017599580407203e-05,-4.584732774533566,3.357459799872872e-05,-4.473989178599054,5.362511161670425e-06,8.284503384540898e-06,1.408559762561009e-05,1,0.19743972369073073,1.139047488241793e-07,15.59288982287784,md_700K_20000steps,formal,700,712.5262843682361,20000,20000,20.0,8.284503384540898e-06,-5.081733520294468,14.2757240419241,3.7783229139294194,201,100,-4.079293588279837,3.7965545654296875,0.8375186324119568,1.0095868110656738,1.8965019921815254,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_ordered\POSCAR,Li192P32S160Cl32,bulk,1,0,NA,0,bulk,0,0,416,192,32,160,32,20.561,20.561,20.561,8692.259818480996,1.6405529344678098,0.46153846153846156,0.022088617230674623,nan,nan,2.057676327677974,P-S,2.3322500362687495,0.00043300587849799595,2.332000040209997,2.3330001272500027,3.6423268869907073,0.00012026783270353998,3.64224777063285,3.643018708622382,3.2981228771745243,0.00030621420933184647,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0,0,nan,nan,nan,nan,,2.6017599580407203e-05,-4.584732774533566,3.357459799872872e-05,-4.473989178599054,5.362511161670425e-06,8.284503384540898e-06,1.408559762561009e-05,1,0.19743972369073073,1.139047488241793e-07,15.59288982287784,md_800K_20000steps,formal,800,831.297645229009,20000,20000,20.0,1.408559762561009e-05,-4.8512247219832405,21.93037150366023,4.682987454997101,201,100,-4.052561781178202,4.299776077270508,0.8752450346946716,1.0611486434936523,1.9096227293718608,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1\POSCAR,Li288P48S240Cl48,gb,0,1,t1,1,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,2.05897547885192,P-S,2.332124999687501,3.775755901347337e-15,2.332124999687487,2.332124999687513,3.6424894003138473,3.1606168753004742e-15,3.6424894003138406,3.6424894003138646,3.145375992371202,0.34155225349409646,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.6666666666666665,0.7453559924999299,0.0,0.0,1,-5659.351330653819,nan,1,0,03_followup/results_summary.csv,5.4514583238192395e-05,-4.2634873037294,5.677682903981677e-05,-4.245828866282956,nan,nan,nan,0,,,,md_600K_1000steps,screening,600,629.6511272317224,1000,1000,1.0,5.4514583238192395e-05,-4.2634873037294,3.5142809669863078,1.8746415569346337,51,20,-3.991550217293536,4.6939802169799805,0.7947164177894592,0.967315673828125,1.8648095743990225,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1\POSCAR,Li288P48S240Cl48,gb,0,1,t1,1,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,2.05897547885192,P-S,2.332124999687501,3.775755901347337e-15,2.332124999687487,2.332124999687513,3.6424894003138473,3.1606168753004742e-15,3.6424894003138406,3.6424894003138646,3.145375992371202,0.34155225349409646,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.6666666666666665,0.7453559924999299,0.0,0.0,1,-5659.351330653819,nan,1,0,03_followup/results_summary.csv,5.4514583238192395e-05,-4.2634873037294,5.677682903981677e-05,-4.245828866282956,nan,nan,nan,0,,,,md_700K_1000steps,screening,700,711.0059230916743,1000,1000,1.0,5.677682903981677e-05,-4.245828866282956,3.599562765545843,1.8972513712067367,51,20,-3.9847519288876034,4.445125102996826,0.8516760468482971,1.0301897525787354,1.8824313196772697,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t1_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1_Li_vac_c1_s1\POSCAR,Li287P48S240Cl48,gb,0,1,t1,1,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.05897547885192,P-S,2.3321249996875006,3.75662439411175e-15,2.332124999687487,2.332124999687513,3.642489400313848,3.0752882415763384e-15,3.6424894003138406,3.6424894003138646,3.144843773516372,0.34202753915733053,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0,1,-5652.994497670531,0.497334,0,0,03_followup/followup_final_results.csv,2.6514421133000316e-05,-4.5765178500271455,2.7388228970304362e-05,-4.562436050012984,nan,nan,nan,0,,,,md_600K_1000steps,screening,600,540.0061546755032,1000,1000,1.0,2.6514421133000316e-05,-4.5765178500271455,1.8828750266052132,1.3721789338877104,51,20,-3.9997379287354446,3.4956257343292236,0.7216266393661499,0.8754846453666687,1.8762352373107443,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t1_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1_Li_vac_c1_s1\POSCAR,Li287P48S240Cl48,gb,0,1,t1,1,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.05897547885192,P-S,2.3321249996875006,3.75662439411175e-15,2.332124999687487,2.332124999687513,3.642489400313848,3.0752882415763384e-15,3.6424894003138406,3.6424894003138646,3.144843773516372,0.34202753915733053,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0,1,-5652.994497670531,0.497334,0,0,03_followup/followup_final_results.csv,2.6514421133000316e-05,-4.5765178500271455,2.7388228970304362e-05,-4.562436050012984,nan,nan,nan,0,,,,md_700K_1000steps,screening,700,626.514758100814,1000,1000,1.0,2.7388228970304362e-05,-4.562436050012984,1.9741361259307273,1.4050395460380207,51,20,-3.989519789843474,5.06068754196167,0.7867810130119324,0.9606836438179016,1.8715439536310816,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t2_Li_vac_c1_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t2_Li_vac_c1_s2\POSCAR,Li287P48S240Cl48,gb,0,1,t2,2,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.0589754788519206,P-S,2.3321249996875,3.4731991788334257e-15,2.3321249996874878,2.3321249996875086,3.642489400313848,3.050722782398706e-15,3.642489400313838,3.64248940031386,3.1448437735163726,0.34202753915733025,2.3816419356901575,3.2981228037074186,2.0589754788519263,2.102595536396881e-15,2.0589754788519206,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0,1,-5652.902032666215,0.509602,0,0,03_followup/followup_final_results.csv,3.260285320551133e-05,-4.48674439142939,3.5859090269117176e-05,-4.445400732512654,nan,nan,nan,0,,,,md_600K_1000steps,screening,600,550.9924780106221,1000,1000,1.0,3.260285320551133e-05,-4.48674439142939,2.1116222009879655,1.4531421819587942,51,20,-3.996221876529351,3.744311571121216,0.7314189672470093,0.8907834887504578,1.901329582778843,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t2_Li_vac_c1_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t2_Li_vac_c1_s2\POSCAR,Li287P48S240Cl48,gb,0,1,t2,2,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.0589754788519206,P-S,2.3321249996875,3.4731991788334257e-15,2.3321249996874878,2.3321249996875086,3.642489400313848,3.050722782398706e-15,3.642489400313838,3.64248940031386,3.1448437735163726,0.34202753915733025,2.3816419356901575,3.2981228037074186,2.0589754788519263,2.102595536396881e-15,2.0589754788519206,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0,1,-5652.902032666215,0.509602,0,0,03_followup/followup_final_results.csv,3.260285320551133e-05,-4.48674439142939,3.5859090269117176e-05,-4.445400732512654,nan,nan,nan,0,,,,md_700K_1000steps,screening,700,671.6353395663028,1000,1000,1.0,3.5859090269117176e-05,-4.445400732512654,2.491285688045211,1.578380717078491,51,20,-3.9870256952937013,3.6107985973358154,0.8063274025917053,0.9883407354354858,1.871181747057363,P-S,/root/models/uma-s-1p2.pt,cuda
