structure_id,temperature_K,1000_over_T,log10_D,D_cm2_s,D_err
bulk_Li_vac_c1_s1,500,2.0,-5.380863480217677,4.160413718867353e-06,2.395800517325561e-06
bulk_Li_vac_c1_s1,600,1.6666666666666667,-5.1764061734360265,6.661834304507746e-06,2.023592461894697e-06
bulk_Li_vac_c1_s1,700,1.4285714285714286,-5.820531504683025,1.5117100325912055e-06,2.196436964009785e-06
bulk_Li_vac_c1_s1,800,1.25,-5.166760933600333,6.811442054599162e-06,2.736776045788046e-06
bulk_Li_vac_c1_s1,900,1.1111111111111112,-4.750289320339557,1.7770951420163327e-05,3.180574095830604e-06
bulk_Li_vac_c1_s2,500,2.0,-5.511528637094735,3.0794372787229016e-06,2.033694385147769e-06
bulk_Li_vac_c1_s2,600,1.6666666666666667,-5.257280652415515,5.5299263546714505e-06,1.470689509868438e-06
bulk_Li_vac_c1_s2,700,1.4285714285714286,-5.287517071390027,5.158018893638574e-06,2.169386659288224e-06
bulk_Li_vac_c1_s2,800,1.25,-4.99003151768263,1.0232187324067544e-05,1.927899153801674e-06
bulk_Li_vac_c1_s2,900,1.1111111111111112,-4.7914547864083845,1.616386496342287e-05,2.153532575670123e-06
bulk_Li_vac_c2_s1,500,2.0,-5.176282806662809,6.663726950570258e-06,2.0795541365534217e-06
bulk_Li_vac_c2_s1,600,1.6666666666666667,-5.309027392054102,4.908769143246171e-06,1.3162762619619029e-06
bulk_Li_vac_c2_s1,700,1.4285714285714286,-5.4483676535776455,3.561495061090344e-06,6.239006173971321e-07
bulk_Li_vac_c2_s1,800,1.25,-4.9436522507309215,1.1385385741367676e-05,2.141935661689378e-06
bulk_Li_vac_c2_s1,900,1.1111111111111112,-4.677149902155688,2.103052419710425e-05,2.885909782185034e-06
bulk_Li_vac_c2_s2,500,2.0,-5.723909849545469,1.888383297306338e-06,2.309843262431835e-06
bulk_Li_vac_c2_s2,600,1.6666666666666667,-5.375124208548066,4.21575915156813e-06,1.825661192653466e-06
bulk_Li_vac_c2_s2,700,1.4285714285714286,-5.202921625754637,6.267269557255346e-06,1.0279311546301297e-06
bulk_Li_vac_c2_s2,800,1.25,-5.059987923230499,8.709878098649361e-06,1.5070814961024088e-06
bulk_Li_vac_c2_s2,900,1.1111111111111112,-4.720329781602524,1.90401435519975e-05,4.3136750936501605e-06
bulk_ordered,500,2.0,-5.49533093964687,3.1964584267185257e-06,1.316789030643785e-06
bulk_ordered,600,1.6666666666666667,-5.270631790854431,5.362511161670425e-06,1.0971562992145666e-06
bulk_ordered,700,1.4285714285714286,-5.081733520294468,8.284503384540898e-06,2.2109773720619306e-06
bulk_ordered,800,1.25,-4.8512247219832405,1.408559762561009e-05,2.099869929625844e-06
bulk_ordered,900,1.1111111111111112,-4.643893147526024,2.270423391134376e-05,5.988040687508135e-06
gb_Sigma3_t1,500,2.0,-5.183877951268455,6.54820170746379e-06,1.4475211162523555e-06
gb_Sigma3_t1,600,1.6666666666666667,-4.942640223609076,1.141194779818503e-05,1.8435527752018036e-06
gb_Sigma3_t1,700,1.4285714285714286,-4.813971895669753,1.5347162950858228e-05,2.1632081040833384e-06
gb_Sigma3_t1,800,1.25,-4.607779403238438,2.467292262376767e-05,4.574027729845382e-06
gb_Sigma3_t1,900,1.1111111111111112,-4.347051360548845,4.497266661579006e-05,4.660037616218321e-06
gb_Sigma3_t1_Li_vac_c1_s1,500,2.0,-5.334342214534681,4.630818775609422e-06,1.4570074502248558e-06
gb_Sigma3_t1_Li_vac_c1_s1,600,1.6666666666666667,-4.806131561120582,1.562674188985775e-05,2.1640718650619487e-06
gb_Sigma3_t1_Li_vac_c1_s1,700,1.4285714285714286,-4.715339057667274,1.9260206641591484e-05,3.2905800618357525e-06
gb_Sigma3_t1_Li_vac_c1_s1,800,1.25,-4.629083595154127,2.3491805954034772e-05,1.667095253614076e-06
gb_Sigma3_t1_Li_vac_c1_s1,900,1.1111111111111112,-4.344031746161369,4.528644750985338e-05,2.2824502271866307e-06
gb_Sigma3_t1_Li_vac_c1_s2,500,2.0,-5.150747735194752,7.067279458897651e-06,2.6315007855866346e-06
gb_Sigma3_t1_Li_vac_c1_s2,600,1.6666666666666667,-5.3302232389884185,4.674947746874791e-06,1.019039534400075e-06
gb_Sigma3_t1_Li_vac_c1_s2,700,1.4285714285714286,-4.815675610009715,1.5287074778714133e-05,2.3147688107672454e-06
gb_Sigma3_t1_Li_vac_c1_s2,800,1.25,-4.655382267499713,2.211147593070142e-05,3.664081741286514e-07
gb_Sigma3_t1_Li_vac_c1_s2,900,1.1111111111111112,-4.33371118445012,4.637552248132776e-05,3.31080129553627e-06
gb_Sigma3_t1_Li_vac_c2_s1,500,2.0,-5.175985056629942,6.668297133498135e-06,2.0337573009117827e-06
gb_Sigma3_t1_Li_vac_c2_s1,600,1.6666666666666667,-4.886225214781073,1.2994955158286648e-05,1.977209943667777e-06
gb_Sigma3_t1_Li_vac_c2_s1,700,1.4285714285714286,-4.835072345232346,1.4619336237285515e-05,4.2619909984886477e-07
gb_Sigma3_t1_Li_vac_c2_s1,800,1.25,-4.49397673818982,3.2064410642557816e-05,2.6935005918536168e-06
gb_Sigma3_t1_Li_vac_c2_s1,900,1.1111111111111112,-4.368869148616231,4.276917287384134e-05,1.1183784644667207e-05
gb_Sigma3_t1_Li_vac_c2_s2,500,2.0,-4.9926197166014905,1.01713894538872e-05,1.3915686645235786e-06
gb_Sigma3_t1_Li_vac_c2_s2,600,1.6666666666666667,-4.897838619311765,1.2652064016790307e-05,5.502613956739147e-07
gb_Sigma3_t1_Li_vac_c2_s2,700,1.4285714285714286,-4.766765461877413,1.7109390479808747e-05,4.700877410932858e-06
gb_Sigma3_t1_Li_vac_c2_s2,800,1.25,-4.484486105259232,3.277282619174332e-05,2.12691873298679e-06
gb_Sigma3_t1_Li_vac_c2_s2,900,1.1111111111111112,-4.365139495355107,4.313804951899579e-05,7.38429034339863e-06
gb_Sigma3_t2,500,2.0,-5.034251978137766,9.241618186490518e-06,1.5119854218726068e-06
gb_Sigma3_t2,600,1.6666666666666667,-4.898737129261357,1.2625915275849523e-05,2.276448585067165e-06
gb_Sigma3_t2,700,1.4285714285714286,-4.691456998871658,2.0348996689375843e-05,1.7956655671205245e-06
gb_Sigma3_t2,800,1.25,-4.533730963728265,2.925964389761085e-05,1.7825655027962604e-06
gb_Sigma3_t2,900,1.1111111111111112,-4.444496986277067,3.593378903193847e-05,6.66050176950975e-06
gb_Sigma3_t2_Li_vac_c1_s1,500,2.0,-5.194833966359257,6.38507545174699e-06,2.2412029696405423e-06
gb_Sigma3_t2_Li_vac_c1_s1,600,1.6666666666666667,-5.14826711377643,7.1077621471189446e-06,2.4582496125757795e-06
gb_Sigma3_t2_Li_vac_c1_s1,700,1.4285714285714286,-4.683103094045229,2.0744210271067437e-05,1.2159555507338818e-06
gb_Sigma3_t2_Li_vac_c1_s1,800,1.25,-4.557953909210935,2.76723531087715e-05,2.8210741135748944e-06
gb_Sigma3_t2_Li_vac_c1_s1,900,1.1111111111111112,-4.459003485988767,3.475333718560872e-05,5.321099515332013e-07
gb_Sigma3_t2_Li_vac_c1_s2,500,2.0,-5.164687830933593,6.844034168473899e-06,9.952089879292082e-07
gb_Sigma3_t2_Li_vac_c1_s2,600,1.6666666666666667,-4.893612737121609,1.277577524236326e-05,2.3004230647572867e-06
gb_Sigma3_t2_Li_vac_c1_s2,700,1.4285714285714286,-4.681956392750028,2.0799055186921448e-05,2.472450969111264e-06
gb_Sigma3_t2_Li_vac_c1_s2,800,1.25,-4.599080541346719,2.517210059545843e-05,2.001048601501332e-06
gb_Sigma3_t2_Li_vac_c1_s2,900,1.1111111111111112,-4.256146383647504,5.544388018708187e-05,2.740185264007091e-06
gb_Sigma3_t2_Li_vac_c2_s1,500,2.0,-5.143881737593979,7.1798977991421895e-06,1.1356036153968534e-06
gb_Sigma3_t2_Li_vac_c2_s1,600,1.6666666666666667,-5.030700713231066,9.31749754011168e-06,2.783133218343556e-06
gb_Sigma3_t2_Li_vac_c2_s1,700,1.4285714285714286,-4.739046733028122,1.823699449346437e-05,3.690356451770931e-06
gb_Sigma3_t2_Li_vac_c2_s1,800,1.25,-4.4992700968394335,3.1675968554609024e-05,1.1860101639652426e-06
gb_Sigma3_t2_Li_vac_c2_s1,900,1.1111111111111112,-4.381911048719961,4.150390413507431e-05,6.500160704200326e-06
gb_Sigma3_t2_Li_vac_c2_s2,500,2.0,-5.334807763095308,4.625857358854777e-06,3.01387504727662e-06
gb_Sigma3_t2_Li_vac_c2_s2,600,1.6666666666666667,-4.931536507980896,1.1707481818922144e-05,8.062684196157626e-07
gb_Sigma3_t2_Li_vac_c2_s2,700,1.4285714285714286,-4.688836457717011,2.047215411544593e-05,4.016119898771931e-06
gb_Sigma3_t2_Li_vac_c2_s2,800,1.25,-4.52308942405843,2.9985450354928675e-05,3.794923477775265e-06
gb_Sigma3_t2_Li_vac_c2_s2,900,1.1111111111111112,-4.449066299905063,3.555770316185746e-05,5.55767217433197e-06
gb_Sigma3_t3,500,2.0,-5.104086128200497,7.86889720209565e-06,1.4451303274334195e-06
gb_Sigma3_t3,600,1.6666666666666667,-4.957875287996591,1.1018556729907984e-05,1.553179847140302e-06
gb_Sigma3_t3,700,1.4285714285714286,-4.717660112188074,1.9157546475480397e-05,2.840031126722815e-06
gb_Sigma3_t3,800,1.25,-4.613199103454399,2.43669345369744e-05,4.341480069647637e-06
gb_Sigma3_t3,900,1.1111111111111112,-4.420401091685007,3.798384353543343e-05,4.603180737712117e-06
gb_Sigma3_t3_Li_vac_c1_s1,500,2.0,-5.289736808877745,5.131722824198765e-06,8.709134993217218e-07
gb_Sigma3_t3_Li_vac_c1_s1,600,1.6666666666666667,-4.943153233102075,1.1398475416223907e-05,2.466389391024449e-06
gb_Sigma3_t3_Li_vac_c1_s1,700,1.4285714285714286,-4.763429841306812,1.7241305955543933e-05,2.774616833462725e-06
gb_Sigma3_t3_Li_vac_c1_s1,800,1.25,-4.661823033859286,2.178597325472438e-05,4.196227217321056e-06
gb_Sigma3_t3_Li_vac_c1_s1,900,1.1111111111111112,-4.373213680052182,4.234345779883253e-05,3.051724944464628e-06
gb_Sigma3_t3_Li_vac_c1_s2,500,2.0,-5.227810268801647,5.918201274853522e-06,1.8478623621358808e-06
gb_Sigma3_t3_Li_vac_c1_s2,600,1.6666666666666667,-4.828521698867461,1.4841517248140545e-05,1.4675406541841556e-06
gb_Sigma3_t3_Li_vac_c1_s2,700,1.4285714285714286,-4.718498993095863,1.912057757671761e-05,2.714180598965583e-06
gb_Sigma3_t3_Li_vac_c1_s2,800,1.25,-4.5522778928590055,2.8036390938467576e-05,4.138440597441215e-06
gb_Sigma3_t3_Li_vac_c1_s2,900,1.1111111111111112,-4.230391885260949,5.883125524339669e-05,1.3283554881245836e-05
gb_Sigma3_t3_Li_vac_c2_s1,500,2.0,-5.368964226167297,4.275981069378935e-06,2.344763730377793e-06
gb_Sigma3_t3_Li_vac_c2_s1,600,1.6666666666666667,-4.744751146749994,1.7999019739405977e-05,2.4580123963961646e-06
gb_Sigma3_t3_Li_vac_c2_s1,700,1.4285714285714286,-4.71140628419252,1.9435410406230077e-05,3.5326749995485086e-06
gb_Sigma3_t3_Li_vac_c2_s1,800,1.25,-4.440950182970838,3.622845529512589e-05,6.653511661641674e-06
gb_Sigma3_t3_Li_vac_c2_s1,900,1.1111111111111112,-4.368493085848775,4.280622344631746e-05,7.496687923981423e-06
gb_Sigma3_t3_Li_vac_c2_s2,500,2.0,-5.145389611222745,7.155012367484988e-06,4.274345157572e-07
gb_Sigma3_t3_Li_vac_c2_s2,600,1.6666666666666667,-4.992952583614389,1.016359653227154e-05,2.890171419031182e-06
gb_Sigma3_t3_Li_vac_c2_s2,700,1.4285714285714286,-4.811783093205776,1.542470641933071e-05,1.964543755635067e-06
gb_Sigma3_t3_Li_vac_c2_s2,800,1.25,-4.502611861249018,3.1433166917622826e-05,4.372449423671279e-06
gb_Sigma3_t3_Li_vac_c2_s2,900,1.1111111111111112,-4.47908505643745,3.318294624925061e-05,3.5340741585399376e-06
